Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Volkswagen,Taigun Highline 1.0 Tsi,4,18000,Petrol,Manual (Regular),1,1023000,1549900,9.9,9.9,9.4,9.2,9.1
Maruti,Suzuki Vitara Brezza Shvs,5,37000,Petrol,Automatic (Torque Convertor),1,825000,998000,9.8,9.7,8.7,8.3,8.1
Maruti,Suzuki Vitara Brezza,4,41000,Petrol,Manual (Regular),1,880000,1198000,9.8,9.7,9,8.8,8.9
Ford,Ecosport Trend+ 1.5L,9,128000,Diesel,Manual (Regular),2,521000,874000,9.5,9,8.1,7.9,8.4
Volkswagen,Taigun Highline 1.0 Tsi Mt*,2,11000,Petrol,Manual (Regular),1,1316000,1542900,9.9,9.9,9.5,9.1,9.2
Kia,Sonet 1.0,3,50000,Petrol,Automatic (Dct),1,970000,1229000,9.6,9.5,9.3,8.5,8.4
Kia,Seltos 1.4,6,89000,Petrol,Automatic (Dct),2,1018000,1729000,9.7,9.1,8.7,8.7,8.4
Nissan,Magnite Xv,4,54000,Petrol,Automatic (Cvt),1,757000,1030000,9.8,9.5,8.8,8.8,8
Hyundai,Venue 1.0,3,20000,Petrol,Automatic (Dct),1,1131000,1272000,9.9,9.9,9.7,9.5,8.7
Tata,Punch Creative Dual Tone,4,27000,Petrol,Automatic (Amt),1,759000,954900,9.8,9.7,9.6,9.3,8.3
Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,3,98000,Diesel,Automatic (Torque Convertor),1,1971000,2495000,9.5,9.4,8.3,8.4,8
Nissan,Magnite Xv,3,37000,Petrol,Automatic (Cvt),1,858000,1086000,9.9,9.7,9.6,9.6,8.5
Hyundai,Creta 1.4 7,6,107000,Petrol,Automatic (Dct),1,1078000,1720000,9.6,9.2,8,8.3,7.5
Mahindra,Xuv700 Ax 5 5 Str,4,113000,Petrol,Automatic (Torque Convertor),1,1436000,1839000,9.6,9.1,8.5,8.5,8.2
Hyundai,Creta 1.4 7 Dct*,4,43000,Petrol,Automatic (Dct),1,1449000,1787000,9.8,9.6,8.8,8.9,8.3
Mahindra,Kuv100 Nxt K2 6 Str,8,36000,Petrol,Manual (Regular),1,351000,439000,9.7,9.3,7.8,8.6,8.2
Maruti,Suzuki S-Cross 1.3,8,66000,Diesel,Manual (Regular),1,735000,998000,9.7,9.6,8.9,8.2,8
Kia,Seltos 1.5,6,101000,Petrol,Manual (Regular),1,821000,1334000,9.4,9.3,8,7.6,8.2
Mahindra,Xuv 300 1.2 Petrol*,4,37000,Petrol,Manual (Regular),1,897000,1221000,9.9,9.8,9.2,8.4,8.9
Hyundai,Alcazar Signature 7 Seater 1.5,4,64000,Diesel,Automatic (Torque Convertor),1,1537000,2110000,9.2,8.7,8.7,8.5,8.2
Maruti,Suzuki Grand Vitara Smart Hybrid Allgrip*,4,59000,Petrol,Manual (Regular),2,1214000,1689000,9.8,9.6,9,9.2,8.5
Hyundai,Alcazar Platinum 7 Str 1.5,3,25000,Diesel,Manual (Regular),1,1673000,2113000,9.9,9.7,9.6,9.5,9
Mg,Motors Hector Sharp 2.0,6,93000,Diesel,Manual (Regular),1,1074000,1728000,9.5,9.1,8.7,8.5,7.3
Hyundai,Creta 1.4 7,5,54000,Petrol,Automatic (Dct),1,1341000,1782000,9.8,9.5,8,8.1,8.1
