Name,Brand,Model,Variant,Make_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Insurance_Validity,Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score,Estimated_Original_Price
2022 Kia Seltos HTX 1.5 Diesel,Kia,Seltos 1.5,HTX DIESEL,Apr 2022,99K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,11.49 Lakh,9.4,9.1,8.3,8.6,8.4,1429000
2023 Maruti Suzuki Grand Vitara Alpha Smart Hybrid*,Maruti,Suzuki Grand Vitara Smart Hybrid*,ALPHA,Oct 2022,94K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,11.15 Lakh,9.7,9.4,8.9,8.2,8.3,1539000
2022 MG Motors Hector Plus Sharp 1.5 Petrol Turbo CVT 6-STR,Mg,Motors Hector Sharp 1.5 6-Str,PLUS PETROL TURBO CVT,Aug 2022,39K km,Petrol (BSIV),Automatic (DCT),1st Owner,Sep 2026,15.33 Lakh,9.8,9.7,9.2,9.1,8.5,2114800
2021 Tata Nexon XZA Plus (S),Tata,Nexon (S),XZA PLUS,Jan 2021,63K km,Petrol (BSVI),Automatic (AMT),1st Owner,Jan 2027,8.34 Lakh,9.5,9.0,8.6,8.7,8.1,1145900
2020 Maruti Suzuki Vitara Brezza ZXi Plus,Maruti,Suzuki Vitara Brezza,ZXI PLUS,Jun 2020,67K km,Petrol (BSVI),Manual (Regular),2nd Owner,Apr 2027,6.81 Lakh,9.8,9.6,9.0,8.3,8.2,975000
2025 Mahindra Thar Roxx AX7 L Petrol AT 2WD,Mahindra,Thar Roxx Ax7 L 2Wd,PETROL AT,Mar 2025,5K km,Petrol,Automatic (Torque Convertor),1st Owner,Apr 2027,21.02 Lakh,10.0,9.9,9.9,9.8,9.5,1899000
2022 Mahindra XUV700 AX 7 Diesel AT Luxury Pack 7 STR,Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,DIESEL AT,May 2022,44K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr 2027,20.24 Lakh,9.8,9.7,9.2,8.8,8.8,2289000
2022 Tata Nexon XZ Plus Diesel,Tata,Nexon,XZ PLUS DIESEL,Jul 2022,105K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,8.33 Lakh,9.3,8.4,8.5,7.8,8.6,1139900
2020 Kia Seltos GTX Plus 1.4,Kia,Seltos 1.4,GTX PLUS,Aug 2020,97K km,Petrol (BSVI),Manual (Regular),2nd Owner,Oct 2026,9.70 Lakh,9.6,9.1,8.5,7.9,8.4,1729000
2021 MG Motors Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,Mg,Motors Hector Sharp 2.0 6-Str,PLUS DIESEL TURBO MT,Nov 2021,51K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,14 Lakh,9.8,8.9,8.9,8.9,8.4,2008800
