Name,Make_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Insurance_Validity,Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
2020 Kia Seltos GTX Plus DCT 1.4,Mar-20,92K km,Petrol,Automatic (DCT),1st Owner,Apr-27,10.83 Lakh,9.7,9.3,8.6,8.1,8.2
2021 Kia Sonet GTX Plus 1.5,Apr-21,30K km,Diesel,Manual (Regular),1st Owner,Apr-27,10.30 Lakh,9.9,9,9.2,8.9,8.8
2023 Nissan Magnite XV Premium Turbo CVT,Apr-23,29K km,Petrol,Automatic (CVT),1st Owner,Apr-27,8.92 Lakh,9.9,9.8,9.1,8.6,8.6
2022 Kia Seltos HTX 1.5 IVT,Apr-22,54K km,Petrol (BSVI),Automatic (CVT),1st Owner,Apr-27,12.61 Lakh,9.8,9.6,9.1,8.9,8.2
2022 MG Motors Hector Sharp 2.0 Diesel Turbo MT,Feb-22,35K km,Diesel (BSVI),Manual (Regular),1st Owner,Feb-27,15.40 Lakh,9.9,9.5,9.1,9.2,8.2
2021 MG Motors Hector Sharp 1.5 Petrol CVT,Feb-21,50K km,Petrol,Automatic (CVT),1st Owner,Apr-27,13.44 Lakh,9.8,9.5,8.9,8.5,8.3
2024 BMW X1 sDrive18d M Sport*,Apr-23,23K km,Diesel (BSIV),Automatic (DCT),1st Owner,Dec-26,45.50 Lakh,9.9,9.8,9.3,9.3,8.6
2022 Volkswagen Taigun Topline 1.0 TSI MT,Feb-22,120K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr-27,11.04 Lakh,9.6,8.9,7.9,7.9,8.4
2021 Kia Sonet HTK Plus 1.5 AT,May-21,44K km,Diesel (BSVI),Automatic (Torque Convertor),1st Owner,Apr-27,9.16 Lakh,9.7,9.5,8.9,8.6,7.8
2023 Kia Sonet GTX Plus 1.0 DCT,Jan-23,35K km,Petrol (BSVI),Automatic (DCT),1st Owner,Jan-27,11.81 Lakh,9.9,9.7,9.3,9.4,8.2
2021 Kia Seltos GTX Plus DCT 1.4,Apr-21,82K km,Petrol (BSVI),Automatic (DCT),1st Owner,Apr-27,11.55 Lakh,9.7,9.4,8.1,8.7,7.8
2023 Tata Nexon Fearless Plus 1.2 Revotron Petrol 6MT,Aug-23,28K km,Petrol,Manual (Regular),1st Owner,Apr-27,10.40 Lakh,9.9,9.8,8.6,9.4,9
2016 Ford EcoSport Titanium+ 1.5L TDCi,Aug-16,132K km,Diesel (BSIV),Manual (Regular),1st Owner,Apr-27,5.47 Lakh,9.1,8.4,7.2,7.9,8
2020 Tata Nexon XMA (S) Diesel,Sep-20,71K km,Diesel (BSVI),Automatic (AMT),2nd Owner,Apr-27,7 Lakh,9.7,9.5,9,8.8,8.4
2022 Tata Nexon XZA Plus (O) Dual Tone,Mar-22,41K km,Petrol (BSVI),Automatic (AMT),1st Owner,Apr-27,10 Lakh,9.8,9.6,9.1,8.5,8
2023 Kia Seltos HTX 1.5,Jan-23,49K km,Petrol (BSVI),Manual (Regular),1st Owner,Mar-27,12.70 Lakh,9.8,9.7,9.1,N/A,10
2020 Kia Seltos GTX Plus DCT 1.4,Aug-20,80K km,Petrol (BSVI),Automatic (DCT),2nd Owner,Apr-27,10.30 Lakh,9.7,9.5,9,8.8,8.7
