Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score,Depreciation_Percent,Price_Lost_Per_Year,Km_Per_Year,Ownership_Impact,Luxury_Score,Wear_Price_Ratio,Total_Feature_Score
Kia,Seltos 1.5 Ivt,5,84000,Petrol,Automatic (Cvt),2,980000,1449000,9.7,9.4,8.7,8.4,7.4,32.367149758454104,93800.0,16800.0,10,9.05,7.551020408163265e-06,43.6
Kia,Seltos 1.4,4,41000,Petrol,Automatic (Dct),1,1420000,1749000,9.6,9.6,9.4,8.8,8.0,18.810748999428245,82250.0,10250.0,4,9.350000000000001,5.6338028169014084e-06,45.400000000000006
Mahindra,Xuv500 W11,8,76000,Diesel,Automatic (Torque Convertor),1,1191000,1898000,9.3,9.5,8.3,8.6,8.3,37.24973656480506,88375.0,9500.0,8,8.925,6.968933669185559e-06,44.0
Ford,Ecosport Titanium 1.5,11,146000,Diesel,Manual (Regular),1,474000,986000,9.4,9.0,8.0,7.7,8.4,51.926977687626774,46545.454545454544,13272.727272727272,11,8.525,1.7721518987341772e-05,42.5
Maruti,Suzuki Brezza Plus*,3,20000,Petrol,Manual (Regular),2,1040000,1258000,9.9,9.9,9.7,9.5,9.3,17.329093799682035,72666.66666666667,6666.666666666667,6,9.75,8.942307692307693e-06,48.3
Kia,Sonet 1.0,6,43000,Petrol,Automatic (Dct),1,935000,1289000,9.7,9.7,9.0,8.8,8.5,27.46314972847168,59000.0,7166.666666666667,6,9.3,9.090909090909091e-06,45.7
Kia,Sonet Anniversary 1.5,4,69000,Diesel,Manual (Regular),1,900000,1165000,9.6,9.4,8.7,8.4,8.0,22.746781115879827,66250.0,17250.0,4,9.025,8.888888888888888e-06,44.1
Kia,Seltos 1.4*,7,109000,Petrol,Automatic (Dct),2,951000,1669000,9.6,8.8,7.8,8.1,8.0,43.019772318753745,102571.42857142857,15571.42857142857,14,8.575,8.412197686645636e-06,42.3
Kia,Seltos 1.4*,7,90000,Petrol,Automatic (Dct),1,1049000,1669000,9.7,9.3,7.7,8.0,8.1,37.14799281006591,88571.42857142857,12857.142857142857,7,8.675,7.721639656816014e-06,42.800000000000004
Renault,Duster 110 Ps 4X2,8,86000,Diesel,Manual (Regular),1,655000,1279000,9.6,9.2,8.3,8.6,8.2,48.78811571540266,78000.0,10750.0,8,8.924999999999999,1.2519083969465648e-05,43.89999999999999
Kia,Seltos 1.4,7,64000,Petrol,Manual (Regular),1,1070000,1669000,9.8,9.4,9.0,8.6,8.0,35.88975434391851,85571.42857142857,9142.857142857143,7,9.200000000000001,7.476635514018692e-06,44.800000000000004
Mg,Motors Hector Sharp 1.5 6-Str,4,62000,Petrol,Automatic (Dct),1,1446000,2130800,9.7,9.3,8.9,8.1,8.4,32.138164069832925,171200.0,15500.0,4,9.0,5.8091286307053945e-06,44.4
Maruti,Suzuki Fronx 1.0L Mt*,3,12000,Petrol,Manual (Regular),1,998000,1297000,9.9,9.9,9.8,9.2,9.2,23.053199691595992,99666.66666666667,4000.0,3,9.7,9.218436873747494e-06,48.0
Hyundai,Creta 1.6 Crdi*,8,92000,Diesel,Automatic (Torque Convertor),1,997000,1503997,9.5,8.9,8.3,7.7,8.0,33.70997415553356,63374.625,11500.0,8,8.6,8.02407221664995e-06,42.4
Kia,Seltos 1.5,6,46000,Petrol,Manual (Regular),1,1012000,1329000,9.8,9.6,8.6,8.4,8.3,23.85252069224981,52833.333333333336,7666.666666666667,6,9.1,8.201581027667985e-06,44.7
Kia,Seltos 1.4,3,49000,Petrol,Manual (Regular),1,1449000,1945000,9.8,9.7,9.1,8.4,8.2,25.5012853470437,165333.33333333334,16333.333333333334,3,9.25,5.659075224292615e-06,45.2
Volkswagen,Taigun Highline 1.0 Tsi,4,64000,Petrol,Manual (Regular),1,947000,1456900,9.8,9.6,9.2,8.5,8.4,34.998970416638066,127475.0,16000.0,4,9.274999999999999,8.870116156282999e-06,45.49999999999999
Kia,Seltos 1.4 Dual Tone,7,37000,Petrol,Automatic (Dct),1,1120000,1669000,9.9,9.6,8.7,8.1,7.9,32.89394847213901,78428.57142857143,5285.714285714285,7,9.075,7.0535714285714286e-06,44.199999999999996
Hyundai,Creta 1.6,8,48000,Petrol,Manual (Regular),1,949000,1358000,9.8,9.7,8.8,8.4,8.2,30.11782032400589,51125.0,6000.0,8,9.175,8.64067439409905e-06,44.900000000000006
Kia,Seltos 1.5,6,112000,Diesel,Automatic (Torque Convertor),1,1042000,1629000,9.5,8.9,7.2,7.6,7.9,36.03437691835482,97833.33333333333,18666.666666666668,6,8.299999999999999,7.5815738963531676e-06,41.099999999999994
Kia,Sonet 1.5,3,57000,Diesel,Manual (Regular),1,945000,1049000,9.7,8.8,9.1,9.1,8.1,9.914204003813156,34666.666666666664,19000.0,3,9.175,8.571428571428571e-06,44.800000000000004
Tata,Nexon (S),3,49000,Diesel,Manual (Regular),1,926000,1080000,9.8,9.7,8.9,8.4,8.6,14.25925925925926,51333.333333333336,16333.333333333334,3,9.2,9.287257019438445e-06,45.4
Honda,Elevate Vx,3,40000,Petrol,Manual (Regular),1,1101000,1363000,9.8,9.7,9.2,9.1,8.2,19.22230374174615,87333.33333333333,13333.333333333334,3,9.45,7.447774750227066e-06,46.0
Renault,Kiger,4,93000,Petrol,Manual (Regular),1,567000,799000,9.7,9.3,8.3,8.2,8.1,29.036295369211512,58000.0,23250.0,4,8.875,1.4285714285714285e-05,43.6
Mahindra,Xuv 300 1.5,4,47000,Diesel,Manual (Regular),1,1017000,1272000,9.8,8.8,8.9,8.8,8.5,20.047169811320757,63750.0,11750.0,4,9.075,8.357915437561455e-06,44.8
Volkswagen,Taigun Highline 1.0 Tsi,3,18000,Petrol,Manual (Regular),1,1113000,1542000,9.9,9.9,9.7,9.2,9.2,27.82101167315175,143000.0,6000.0,3,9.675,8.265947888589397e-06,47.900000000000006
Skoda,Kushaq Style 1.5L Tsi Dsg,4,102000,Petrol,Automatic (Dsg),2,1144000,1759000,9.6,9.2,8.6,8.6,8.3,34.96304718590108,153750.0,25500.0,8,9.0,7.2552447552447555e-06,44.3
Kia,Seltos 1.5,4,99000,Diesel,Manual (Regular),1,1149000,1429000,9.4,9.1,8.3,8.6,8.4,19.59412176347096,70000.0,24750.0,4,8.85,7.3107049608355094e-06,43.8
Maruti,Suzuki Grand Vitara Smart Hybrid*,4,94000,Petrol,Manual (Regular),1,1115000,1539000,9.7,9.4,8.9,8.2,8.3,27.550357374918775,106000.0,23500.0,4,9.05,7.443946188340808e-06,44.5
