Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,4,44000.0,Diesel,Automatic (Torque Convertor),1.0,2023999.9999999998,2289000,9.8,9.7,9.2,8.8,8.8
Tata,Nexon,4,105000.0,Diesel,Manual (Regular),1.0,833000.0,1139900,9.3,8.4,8.5,7.8,8.6
Kia,Seltos 1.4,6,97000.0,Petrol,Manual (Regular),2.0,969999.9999999999,1729000,9.6,9.1,8.5,7.9,8.4
Mg,Motors Hector Sharp 2.0 6-Str,5,51000.0,Diesel,Manual (Regular),1.0,1400000.0,2008800,9.8,8.9,8.9,8.9,8.4
Maruti,Suzuki Fronx 1.0L 6 At*,2,22000.0,Petrol,Automatic (Torque Convertor),1.0,1109000.0,1304000,9.9,9.7,9.8,9.6,8.9
Renault,Captur Rxl Diesel*,9,95000.0,Diesel,Manual (Regular),1.0,598000.0,1167000,9.3,9.3,7.5,8.1,8.4
Renault,Kiger Dual Tone,4,45000.0,Petrol,Automatic (Cvt),1.0,755000.0,1062000,9.8,9.7,9.4,9.1,8.3
Kia,Seltos 1.5,3,37000.0,Petrol,Automatic (Dct),1.0,1657999.9999999998,1979900,9.9,9.7,9.5,9.0,8.5
Tata,Punch Creative Flagship Dual Tone Mt*,3,32000.0,Petrol,Manual (Regular),1.0,814000.0,960000,9.9,9.8,9.5,9.0,8.9
Mg,Motors Hector Sharp Hybrid 1.5,6,80000.0,Hybrid,Manual (Regular),2.0,951000.0,1646000,9.7,9.5,8.2,8.8,8.1
Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,4,49000.0,Diesel,Manual (Regular),1.0,1934000.0,2159000,9.8,9.7,8.3,8.4,7.7
Maruti,Suzuki Brezza,4,47000.0,Petrol,Automatic (Torque Convertor),1.0,1014000.0,1244000,9.8,9.7,8.6,8.7,7.9
Maruti,Suzuki Brezza,3,71000.0,Petrol,Manual (Regular),1.0,1008000.0,1248000,9.7,9.5,9.1,8.6,8.3
Renault,Kiger Dual Tone,4,29000.0,Petrol,Automatic (Cvt),1.0,796000.0,1077000,9.8,9.7,9.2,8.9,8.5
Maruti,Suzuki Brezza,4,55000.0,Petrol,Manual (Regular),2.0,921000.0000000001,1248000,9.8,9.6,9.0,8.6,8.3
Mahindra,Xuv 300 1.2,3,28000.0,Petrol,Manual (Regular),1.0,990000.0,1315000,9.9,9.8,9.1,9.2,9.0
Hyundai,Creta 1.6,8,49000.0,Petrol,Manual (Regular),2.0,822000.0000000001,1199000,9.8,9.6,9.0,8.5,8.6
Hyundai,Creta 1.6,8,100000.0,Petrol,Manual (Regular),1.0,751000.0,1199000,9.6,9.3,8.6,8.5,8.5
Tata,Nexon,4,32000.0,Diesel,Automatic (Amt),1.0,1089000.0,1324900,9.9,9.7,9.3,8.6,8.5
Maruti,Suzuki Vitara Brezza Shvs,6,68000.0,Petrol,Automatic (Torque Convertor),1.0,819000.0,1114000,9.5,9.4,8.3,8.1,8.1
Renault,Kiger Dual Tone,5,21000.0,Petrol,Automatic (Amt),1.0,617000.0,812000,9.8,9.5,9.1,8.9,8.9
Renault,Kiger 1.0 Dual Tone,4,45000.0,Petrol,Manual (Regular),1.0,650000.0,952000,9.8,9.7,9.1,9.2,8.3
Volkswagen,Taigun Highline 1.0 Tsi,4,18000.0,Petrol,Manual (Regular),1.0,1023000.0,1549900,9.9,9.9,9.4,9.2,9.1
Maruti,Suzuki Vitara Brezza Shvs,5,37000.0,Petrol,Automatic (Torque Convertor),1.0,825000.0,998000,9.8,9.7,8.7,8.3,8.1
Maruti,Suzuki Vitara Brezza,4,41000.0,Petrol,Manual (Regular),1.0,880000.0000000001,1198000,9.8,9.7,9.0,8.8,8.9
Ford,Ecosport Trend+ 1.5L,9,128000.0,Diesel,Manual (Regular),2.0,521000.0,874000,9.5,9.0,8.1,7.9,8.4
Volkswagen,Taigun Highline 1.0 Tsi Mt*,2,11000.0,Petrol,Manual (Regular),1.0,1316000.0,1542900,9.9,9.9,9.5,9.1,9.2
Kia,Sonet 1.0,3,50000.0,Petrol,Automatic (Dct),1.0,969999.9999999999,1229000,9.6,9.5,9.3,8.5,8.4
Kia,Seltos 1.4,6,89000.0,Petrol,Automatic (Dct),2.0,1018000.0,1729000,9.7,9.1,8.7,8.7,8.4
